Fighter,KD,Sig. str.,Sig. str. %,Total str.,Td,Td %,Sub. att,Pass,Rev.
,Donald Cerrone,,View
win,Belal Muhammad,47,2,0,6,Welterweight,U-DEC,3,5:00
win,Montel Jackson,64,3,0,3,Bantamweight,U-DEC,3,5:00
win,Poliana Botelho,47,2,0,2,Women's Flyweight,U-DEC,3,5:00
win,Brandon Davis,35,0,1,0,Bantamweight,SUB,2,1:12
win,Justin Gaethje,20,0,0,0,Lightweight,KO/TKO,1,2:30
win,Jack Hermansson,3,1,1,1,Middleweight,SUB,1,0:49
win,Josh Emmett,22,0,0,0,Featherweight,KO/TKO,3,4:14
win,Michelle Waterson,64,2,1,1,Women's Strawweight,U-DEC,3,5:00
win,Paul Craig,25,1,2,0,Light Heavyweight,SUB,3,4:20
win,Sodiq Yusuff,73,0,0,1,Featherweight,U-DEC,3,5:00
win,Marina Rodriguez,118,0,0,0,Women's Strawweight,U-DEC,3,5:00
win,Desmond Green,25,1,0,0,Lightweight,KO/TKO,1,2:52
win,Kevin Aguilar,58,0,0,0,Featherweight,U-DEC,3,5:00
win,Kevin Holland,27,1,2,4,Middleweight,S-DEC,3,5:00
win,Casey Kenney,32,2,0,4,Bantamweight,U-DEC,3,5:00
win,Maryna Moroz,56,1,0,0,Women's Flyweight,U-DEC,3,5:00
win,Alex Perez,60,2,0,1,Bantamweight,U-DEC,3,5:00
win,Anthony Pettis,32,0,0,0,Welterweight,KO/TKO,2,4:55
win,Curtis Blaydes,22,7,0,4,Heavyweight,U-DEC,3,5:00
win,John Makdessi,73,0,0,0,Lightweight,U-DEC,3,5:00
win,Jussier Formiga,26,3,0,7,Flyweight,U-DEC,3,5:00
win,Luis Pena,52,1,0,1,Featherweight,U-DEC,3,5:00
win,Maycee Barber,55,0,0,0,Women's Flyweight,KO/TKO,2,3:01
win,Bryce Mitchell,17,0,2,1,Featherweight,U-DEC,3,5:00
win,Marlon Vera,12,0,0,0,Bantamweight,KO/TKO,1,1:25
win,Jennifer Maia,60,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Randa Markos,13,1,1,2,Women's Strawweight,SUB,1,4:24
win,Chris Gutierrez,69,0,0,0,Bantamweight,U-DEC,3,5:00
win,Jordan Espinosa,47,1,0,0,Flyweight,U-DEC,3,5:00
win,Jorge Masvidal,35,1,0,0,Welterweight,KO/TKO,2,3:05
win,Leon Edwards,31,2,0,1,Welterweight,S-DEC,3,5:00
win,Dominick Reyes,44,0,0,0,Light Heavyweight,S-DEC,3,5:00
win,Nathaniel Wood,30,2,2,3,Bantamweight,SUB,2,2:46
win,Claudio Silva,19,3,4,5,Welterweight,SUB,3,2:37
win,Jack Marshman,31,0,0,0,Middleweight,S-DEC,3,5:00
win,Arnold Allen,37,0,0,0,Featherweight,U-DEC,3,5:00
win,Marc Diakiese,63,3,0,2,Lightweight,U-DEC,3,5:00
win,Saparbeg Safarov,70,3,0,7,Light Heavyweight,U-DEC,3,5:00
win,Dan Ige,10,1,1,1,Featherweight,SUB,1,1:17
win,Molly McCann,107,2,2,2,Women's Flyweight,U-DEC,3,5:00
win,Mike Grundy,33,1,0,1,Featherweight,KO/TKO,2,4:42
win,Junior Dos Santos,29,0,0,0,Heavyweight,KO/TKO,2,1:58
win,Elizeu Zaleski dos Santos,6,1,1,2,Welterweight,SUB,1,2:35
win,Niko Price,32,0,0,0,Welterweight,KO/TKO,1,4:50
win,Blagoy Ivanov,72,0,0,0,Heavyweight,U-DEC,3,5:00
win,Beneil Dariush,37,2,1,4,Lightweight,SUB,2,4:41
win,Omari Akhmedov,52,0,0,0,Middleweight,U-DEC,3,5:00
win,Anthony Rocco Martin,50,0,0,1,Welterweight,U-DEC,3,5:00
win,Yana Kunitskaya,98,1,0,0,Women's Bantamweight,U-DEC,3,5:00
win,Grant Dawson,57,6,1,5,Featherweight,U-DEC,3,5:00
win,Maurice Greene,70,0,0,0,Heavyweight,S-DEC,3,5:00
win,Matt Schnell,14,1,2,1,Bantamweight,SUB,1,3:18
win,Alex Morono,25,0,1,2,Welterweight,KO/TKO,1,3:34
win,Alex White,49,2,3,0,Lightweight,U-DEC,3,5:00
win,Jon Jones,125,3,0,0,Light Heavyweight,U-DEC,5,5:00
win,Kamaru Usman,141,2,0,7,Welterweight,U-DEC,5,5:00
win,Ben Askren,0,1,1,0,Welterweight,SUB,1,3:20
win,Weili Zhang,63,2,0,4,Women's Strawweight,U-DEC,3,5:00
win,Pedro Munhoz,25,0,0,1,Bantamweight,KO/TKO,1,4:52
win,Zabit Magomedsharipov,70,3,0,4,Featherweight,U-DEC,3,5:00
win,Johnny Walker,4,0,0,0,Light Heavyweight,KO/TKO,1,0:36
win,Cody Stamann,48,0,0,0,Bantamweight,U-DEC,3,5:00
win,Diego Sanchez,56,4,0,5,Welterweight,KO/TKO,2,4:13
win,Edmen Shahbazyan,13,0,0,0,Middleweight,KO/TKO,1,0:38
win,Macy Chiasson,25,0,0,0,Women's Bantamweight,KO/TKO,1,1:49
win,Hannah Cifers,67,0,0,0,Women's Strawweight,S-DEC,3,5:00
win,Thiago Santos,52,1,0,1,Light Heavyweight,KO/TKO,3,0:39
win,Stefan Struve,0,1,1,2,Heavyweight,SUB,2,2:21
win,Michal Oleksiejczuk,14,0,0,0,Light Heavyweight,KO/TKO,1,1:34
win,Liz Carmouche,14,3,2,2,Women's Flyweight,U-DEC,3,5:00
win,Petr Yan,80,2,0,0,Bantamweight,U-DEC,3,5:00
win,Magomed Ankalaev,30,1,0,2,Light Heavyweight,U-DEC,3,5:00
win,Dwight Grant,20,0,0,0,Welterweight,KO/TKO,1,4:59
win,Chris Fishgold,14,5,2,5,Featherweight,SUB,2,1:10
win,Gillian Robertson,5,2,1,7,Women's Flyweight,SUB,2,3:27
win,Damir Hadzovic,58,2,0,3,Lightweight,KO/TKO,2,2:03
win,Ismail Naurdiev,63,0,1,4,Welterweight,U-DEC,3,5:00
win,Diego Ferreira,83,0,1,0,Lightweight,U-DEC,3,5:00
win,Damir Ismagulov,64,0,0,0,Lightweight,U-DEC,3,5:00
win,Francis Ngannou,6,0,0,0,Heavyweight,KO/TKO,1,0:26
win,Paul Felder,55,0,0,0,Lightweight,U-DEC,3,5:00
win,Cynthia Calvillo,82,0,0,0,Women's Strawweight,U-DEC,3,5:00
win,Kron Gracie,2,1,1,1,Featherweight,SUB,1,2:06
win,Vicente Luque,163,0,2,1,Welterweight,KO/TKO,3,4:54
win,Andre Fili,98,0,0,0,Featherweight,U-DEC,3,5:00
win,Aljamain Sterling,101,0,0,0,Bantamweight,U-DEC,3,5:00
win,Manny Bermudez,7,1,1,2,Bantamweight,SUB,1,3:09
win,Andrea Lee,111,0,0,0,Women's Flyweight,U-DEC,3,5:00
win,Nik Lentz,71,5,1,2,Lightweight,U-DEC,3,5:00
win,Luke Sanders,39,0,0,0,Bantamweight,KO/TKO,2,1:01
win,Emily Whitmire,3,1,1,2,Women's Strawweight,SUB,1,1:01
win,Israel Adesanya,65,0,0,0,Middleweight,U-DEC,3,5:00
win,Lando Vannata,20,1,1,2,Lightweight,SUB,1,4:55
win,Ricky Simon,54,4,0,2,Bantamweight,U-DEC,3,5:00
win,Montana De La Rosa,21,2,3,7,Women's Flyweight,SUB,2,2:37
win,Jimmy Crute,14,0,0,0,Light Heavyweight,KO/TKO,1,2:49
win,Devonte Smith,19,0,0,0,Lightweight,KO/TKO,1,3:53
win,Shane Young,120,0,0,0,Featherweight,U-DEC,3,5:00
win,Kai Kara-France,58,2,0,0,Flyweight,S-DEC,3,5:00
win,Kyung Ho Kang,26,1,1,1,Bantamweight,SUB,1,3:59
win,Jalin Turner,9,0,0,1,Lightweight,KO/TKO,1,0:53
win,Jonathan Martinez,47,1,0,4,Bantamweight,U-DEC,3,5:00
win,Marlon Moraes,10,0,1,2,Bantamweight,SUB,1,3:17
win,Jose Aldo,26,0,0,0,Featherweight,KO/TKO,2,0:44
win,Demian Maia,0,2,2,1,Welterweight,SUB,1,2:38
win,Charles Oliveira,28,1,1,1,Lightweight,SUB,2,0:55
win,Johnny Walker,7,0,0,0,Light Heavyweight,KO/TKO,1,0:15
win,Livinha Souza,23,4,3,2,Women's Strawweight,S-DEC,3,5:00
win,Markus Perez,16,1,1,1,Middleweight,SUB,2,1:07
win,Mara Romero Borella,29,2,0,2,Women's Flyweight,S-DEC,3,5:00
win,Thiago Alves,83,0,0,0,Welterweight,S-DEC,3,5:00
win,Jairzinho Rozenstruik,19,0,0,0,Heavyweight,KO/TKO,2,0:54
win,Geraldo de Freitas,49,6,0,11,Featherweight,U-DEC,3,5:00
win,Said Nurmagomedov,17,0,0,0,Bantamweight,KO/TKO,1,2:28
win,Rogerio Bontorin,40,1,2,2,Flyweight,S-DEC,3,5:00
win,Henry Cejudo,18,0,0,0,Flyweight,KO/TKO,1,0:32
win,Allen Crowder,12,1,1,2,Heavyweight,DQ,2,2:28
win,Gregor Gillespie,51,6,0,7,Lightweight,KO/TKO,2,4:59
win,Joseph Benavidez,21,7,0,2,Flyweight,U-DEC,3,5:00
win,Paige VanZant,17,0,2,1,Women's Flyweight,SUB,2,1:50
win,Glover Teixeira,6,1,1,3,Light Heavyweight,SUB,1,3:21
win,Donald Cerrone,80,1,0,0,Lightweight,KO/TKO,2,3:43
win,Joanne Calderwood,85,1,2,4,Women's Flyweight,U-DEC,3,5:00
win,Alonzo Menifield,33,0,0,0,Light Heavyweight,KO/TKO,1,3:56
win,Cory Sandhagen,17,1,2,2,Bantamweight,SUB,1,3:31
win,Dennis Bermudez,63,5,2,8,Lightweight,U-DEC,3,5:00
win,Geoff Neal,71,0,0,0,Welterweight,U-DEC,3,5:00
win,Chance Rencountre,6,2,1,1,Welterweight,SUB,1,2:25
win,Jon Jones,59,1,0,3,Light Heavyweight,KO/TKO,3,2:02
win,Amanda Nunes,13,0,0,0,Women's Featherweight,KO/TKO,1,0:51
win,Michael Chiesa,10,4,1,3,Welterweight,SUB,2,0:56
win,Corey Anderson,40,0,0,0,Light Heavyweight,U-DEC,3,5:00
win,Alexander Volkanovski,54,0,0,0,Featherweight,KO/TKO,2,4:14
